obs,date,year,month,day,start_time,end_time,locality,site,bar,station,transect,counter,tran_length,count_live,count_dead,treatment,pass
1,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,2.5,65,-999,control,1
2,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,5,195,-999,control,1
3,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,7.5,104,-999,control,1
4,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,10,119,-999,control,1
5,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,12.5,134,-999,control,1
6,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,15,162,-999,control,1
7,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,17.5,63,-999,control,1
8,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,20,116,-999,control,1
9,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,22.5,156,-999,control,1
10,5/27/2010,2010,5,27,17:50,18:26,CK,I,1,CKI1,1,JANESSY,24.9,117,-999,control,1
11,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,2.5,3,-999,control,1
12,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,5,7,-999,control,1
13,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,7.5,39,-999,control,1
14,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,10,97,-999,control,1
15,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,12.5,145,-999,control,1
16,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,15,87,-999,control,1
17,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,17.5,11,-999,control,1
18,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,20,31,-999,control,1
19,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,22.5,72,-999,control,1
20,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,25,5,-999,control,1
21,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,27.5,42,-999,control,1
22,5/27/2010,2010,5,27,18:37,19:07,CK,I,2,CKI2,1,JANESSY,29.2,1,-999,control,1
23,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,2.5,86,-999,control,1
24,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,5,157,-999,control,1
25,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,7.5,9,-999,control,1
26,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,10,16,-999,control,1
27,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,12.5,117,-999,control,1
28,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,15,169,-999,control,1
29,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,17.5,119,-999,control,1
30,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,20,64,-999,control,1
31,5/27/2010,2010,5,27,19:14,19:44,CK,I,3,CKI3,1,JANESSY,21.9,74,-999,control,1
32,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,2.5,6,-999,control,1
33,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,5,2,-999,control,1
34,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,7.5,58,-999,control,1
35,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,10,104,-999,control,1
36,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,12.5,173,-999,control,1
37,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,15,105,-999,control,1
38,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,17.5,50,-999,control,1
39,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,20,48,-999,control,1
40,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,22.5,135,-999,control,1
41,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,25,26,-999,control,1
42,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,27.5,29,-999,control,1
43,7/9/2010,2010,7,9,17:47,17:58,CK,I,1,CKI1,1,JANESSY,29.2,1,-999,control,1
44,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,2.5,57,-999,control,1
45,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,5,202,-999,control,1
46,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,7.5,98,-999,control,1
47,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,10,111,-999,control,1
48,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,12.5,142,-999,control,1
49,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,15,153,-999,control,1
50,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,17.5,65,-999,control,1
51,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,20,107,-999,control,1
52,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,22.5,180,-999,control,1
53,7/9/2010,2010,7,9,17:14,17:32,CK,I,2,CKI2,1,JANESSY,25,63,-999,control,1
54,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,2.5,100,-999,control,1
55,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,5,204,-999,control,1
56,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,7.5,8,-999,control,1
57,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,10,7,-999,control,1
58,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,12.5,71,-999,control,1
59,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,15,149,-999,control,1
60,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,17.5,161,-999,control,1
61,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,20,90,-999,control,1
62,7/9/2010,2010,7,9,16:45,17:05,CK,I,3,CKI3,1,JANESSY,21.8,7,-999,control,1
63,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,2.5,12,-999,control,1
64,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,5,258,-999,control,1
65,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,7.5,154,-999,control,1
66,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,10,269,-999,control,1
67,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,12.5,276,-999,control,1
68,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,15,222,-999,control,1
69,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,17.5,72,-999,control,1
70,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,20,228,-999,control,1
71,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,22.5,420,-999,control,1
72,8/8/2010,2010,8,8,17:30,18:30,CK,I,1,CKI1,1,ZACH,25,116,-999,control,1
73,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,2.5,0,-999,control,1
74,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,5,1,-999,control,1
75,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,7.5,4,-999,control,1
76,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,10,3,-999,control,1
77,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,12.5,192,-999,control,1
78,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,15,131,-999,control,1
79,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,17.5,54,-999,control,1
80,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,20,110,-999,control,1
81,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,22.5,128,-999,control,1
82,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,25,23,-999,control,1
83,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,27.5,36,-999,control,1
84,8/8/2010,2010,8,8,16:30,17:30,CK,I,2,CKI2,1,ZACH,29,0,-999,control,1
85,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,2.5,89,-999,control,1
86,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,5,108,-999,control,1
87,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,7.5,8,-999,control,1
88,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,10,17,-999,control,1
89,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,12.5,15,-999,control,1
90,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,15,113,-999,control,1
91,5/27/2010,2010,5,27,17:15,17:40,CK,N,1,CKN1,1,JANESSY,15.3,0,-999,control,1
92,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,2.5,0,-999,control,1
93,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,5,0,-999,control,1
94,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,7.5,0,-999,control,1
95,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,10,4,-999,control,1
96,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,12.5,1,-999,control,1
97,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,15,0,-999,control,1
98,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,17.5,0,-999,control,1
99,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,20,0,-999,control,1
100,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,22.5,0,-999,control,1
101,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,25,0,-999,control,1
102,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,27.5,0,-999,control,1
103,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,30,0,-999,control,1
104,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,32.5,0,-999,control,1
105,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,35,39,-999,control,1
106,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,37.5,0,-999,control,1
107,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,40,19,-999,control,1
108,5/27/2010,2010,5,27,19:11,19:27,CK,N,2,CKN2,1,GERALD,41,20,-999,control,1
109,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,2.5,71,-999,control,1
110,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,5,62,-999,control,1
111,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,7.5,25,-999,control,1
112,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,10,196,-999,control,1
113,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,12.5,238,-999,control,1
114,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,15,210,-999,control,1
115,5/27/2010,2010,5,27,18:27,NA,CK,N,3,CKN3,1,GERALD,16.5,138,-999,control,1
116,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,2.5,141,-999,control,1
117,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,5,152,-999,control,1
118,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,7.5,20,-999,control,1
119,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,10,34,-999,control,1
120,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,12.5,27,-999,control,1
121,7/9/2010,2010,7,9,NA,NA,CK,N,1,CKN1,1,LAURA,15,62,-999,control,1
122,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,2.5,0,-999,control,1
123,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,5,0,-999,control,1
124,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,7.5,2,-999,control,1
125,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,10,0,-999,control,1
126,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,12.5,0,-999,control,1
127,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,15,0,-999,control,1
128,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,17.5,0,-999,control,1
129,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,20,4,-999,control,1
130,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,22.5,0,-999,control,1
131,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,25,0,-999,control,1
132,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,27.5,0,-999,control,1
133,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,30,0,-999,control,1
134,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,32.5,6,-999,control,1
135,7/9/2010,2010,7,9,NA,NA,CK,N,2,CKN2,1,JERRY/LAURA,35,66,-999,control,1
136,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,2.5,67,-999,control,1
137,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,5,129,-999,control,1
138,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,7.5,80,-999,control,1
139,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,10,334,-999,control,1
140,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,12.5,235,-999,control,1
141,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,15,405,-999,control,1
142,7/9/2010,2010,7,9,NA,NA,CK,N,3,CKN3,1,JERRY/LAURA,17.5,205,-999,control,1
143,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,2.5,45,-999,control,1
144,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,5,5,-999,control,1
145,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,7.5,24,-999,control,1
146,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,10,66,-999,control,1
147,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,12.5,64,-999,control,1
148,8/8/2010,2010,8,8,18:40,19:30,CK,N,1,CKN1,1,ZACH,15,29,-999,control,1
149,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,2.5,0,-999,control,1
150,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,5,0,-999,control,1
151,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,7.5,0,-999,control,1
152,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,10,0,-999,control,1
153,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,12.5,0,-999,control,1
154,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,15,0,-999,control,1
155,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,17.5,0,-999,control,1
156,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,20,0,-999,control,1
157,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,22.5,0,-999,control,1
158,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,25,20,-999,control,1
159,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,27.5,0,-999,control,1
160,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,30,0,-999,control,1
161,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,32.5,0,-999,control,1
162,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,35,0,-999,control,1
163,8/8/2010,2010,8,8,18:20,18:35,CK,N,2,CKN2,1,JERRY/LAURA,37.5,1,-999,control,1
164,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,2.5,123,-999,control,1
165,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,5,130,-999,control,1
166,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,7.5,79,-999,control,1
167,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,10,320,-999,control,1
168,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,12.5,184,-999,control,1
169,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,15,202,-999,control,1
170,8/8/2010,2010,8,8,18:48,19:00,CK,N,3,CKN3,1,LAURA,17.5,138,-999,control,1
171,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,2.5,0,-999,control,1
172,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,5,1,-999,control,1
173,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,7.5,4,-999,control,1
174,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,10,0,-999,control,1
175,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,12.5,0,-999,control,1
176,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,15,4,-999,control,1
177,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,17.5,20,-999,control,1
178,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,20,21,-999,control,1
179,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,22.5,4,-999,control,1
180,5/27/2010,2010,5,27,17:09,17:26,CK,O,1,CKO1,1,GERALD,23.2,0,-999,control,1
181,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,2.5,0,-999,control,1
182,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,5,7,-999,control,1
183,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,7.5,0,-999,control,1
184,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,10,0,-999,control,1
185,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,12.5,13,-999,control,1
186,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,15,3,-999,control,1
187,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,17.5,3,-999,control,1
188,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,20,0,-999,control,1
189,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,22.5,0,-999,control,1
190,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,25,0,-999,control,1
191,5/27/2010,2010,5,27,17:30,17:51,CK,O,2,CKO2,1,GERALD,25.7,0,-999,control,1
192,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,2.5,0,-999,control,1
193,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,5,0,-999,control,1
194,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,7.5,0,-999,control,1
195,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,10,31,-999,control,1
196,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,12.5,172,-999,control,1
197,5/27/2010,2010,5,27,17:55,18:11,CK,O,3,CKO3,1,GERALD,15,10,-999,control,1
